public,id,need_ticket_when_rainy,sunny_location_id,rainy_location_id,title,organization,department,description,day,when_sunny,when_rainy,start_time,end_time,img_name
TRUE,EV-001,FALSE,LC-035,LC-035,開会式,海王祭実行委員会,,,2026-05-17,TRUE,TRUE,9:00,9:20,
TRUE,EV-002,FALSE,LC-035,LC-035,海洋大生トークショー,海王祭実行委員会,,,2026-05-17,TRUE,TRUE,9:30,10:00,
TRUE,EV-003,FALSE,LC-035,LC-035,クルーズ講演会,,,,2026-05-17,TRUE,TRUE,10:30,11:00,
TRUE,EV-004,TRUE,LC-035,LC-035,ポムポムプリンスペシャルステージ(ショー),,,,2026-05-17,TRUE,TRUE,11:30,12:00,
TRUE,EV-005,FALSE,LC-035,LC-035,自衛隊トークショー,,,,2026-05-17,TRUE,TRUE,12:20,13:00,
TRUE,EV-006,FALSE,LC-035,LC-035,ポムポムプリングリーティング,,,,2026-05-17,TRUE,TRUE,13:40,14:10,
TRUE,EV-007,TRUE,LC-035,LC-035,海洋大生トークショー,,,,2026-05-17,TRUE,TRUE,15:20,15:40,
TRUE,EV-008,FALSE,LC-035,LC-035,ポムポムプリンスペシャルステージ(ショー),,,,2026-05-17,TRUE,TRUE,16:10,16:40,
TRUE,EV-009,TRUE,LC-035,LC-035,ビンゴ大会,,,,2026-05-17,TRUE,TRUE,17:00,18:00,
